Timestamp,Milliseconds,X,Y,Z
2018-12-11 14:42:25,1622,-0.14897156,-5.6030426,12.776245
2018-12-11 14:42:25,1641,-0.07234192,-5.6030426,12.316437
2018-12-11 14:42:25,1661,0.11924744,-5.564728,11.818329
2018-12-11 14:42:25,1682,0.5790405,-5.6796875,11.416
2018-12-11 14:42:25,1702,0.9047241,-5.775467,11.243576
2018-12-11 14:42:25,1722,1.1154785,-6.062851,11.224411
2018-12-11 14:42:25,1742,0.4066162,-5.7180023,10.630508
2018-12-11 14:42:25,1762,0.65567017,-5.852112,10.22818
2018-12-11 14:42:25,1782,0.61735535,-5.9095764,10.381454
2018-12-11 14:42:25,1801,0.6748352,-6.024536,10.28566
2018-12-11 14:42:25,1822,0.88557434,-6.101166,10.668823
2018-12-11 14:42:25,1842,1.5752716,-6.8674927,11.377686
2018-12-11 14:42:25,1861,1.0005188,-7.269821,11.071152
2018-12-11 14:42:25,1881,-0.26393127,-6.560959,10.917877
2018-12-11 14:42:25,1902,-0.800354,-6.580124,12.642136
2018-12-11 14:42:25,1921,-1.049408,-6.790863,14.672913
2018-12-11 14:42:25,1943,-1.049408,-7.116562,15.458405
2018-12-11 14:42:25,1961,-0.3980255,-7.001602,14.519638
2018-12-11 14:42:25,1982,0.25335693,-7.116562,13.063614
2018-12-11 14:42:25,2001,0.6748352,-7.116562,11.665054
2018-12-11 14:42:25,2022,0.3683014,-6.6184387,11.147781
2018-12-11 14:42:25,2041,0.4066162,-6.7717133,11.454315
2018-12-11 14:42:25,2062,0.19587708,-6.829178,13.695831
2018-12-11 14:42:25,2081,0.75146484,-7.1357117,16.109787
2018-12-11 14:42:25,2102,1.0771637,-7.1548767,15.918198
2018-12-11 14:42:25,2121,0.48324585,-6.790863,13.829941
2018-12-11 14:42:25,2146,-0.6470947,-6.0820007,10.189865
2018-12-11 14:42:25,2161,-0.8961487,-5.4306183,9.557648
2018-12-11 14:42:25,2182,0.8664093,-6.21611,11.665054
2018-12-11 14:42:25,2201,2.8014069,-7.518875,15.38176
2018-12-11 14:42:25,2221,3.2995148,-7.6529846,16.013992
2018-12-11 14:42:25,2241,2.2649689,-7.4614105,14.711227
2018-12-11 14:42:25,2261,0.8280945,-6.6759186,11.588425
2018-12-11 14:42:25,2282,0.21502686,-5.756317,9.940811
2018-12-11 14:42:25,2302,-0.0340271,-5.488098,10.458084
2018-12-11 14:42:25,2322,0.5598755,-6.0820007,11.760849
2018-12-11 14:42:25,2341,1.7476959,-6.810028,12.412231
